on,40526,68326,-2472,24699,56335,66875
on,-77946,-70763,25469,43508,2951,14856
on,-46543,-17914,58749,73413,-16218,-3353
on,35355,53713,-68542,-50644,-51561,-25775
on,-32356,-10346,22323,30374,-93261,-56997
on,-73600,-57992,-55157,-44598,-14118,17601
on,-50437,-34207,-48988,-34142,27358,61321
on,-47427,-36307,52468,73774,30289,48668
on,6660,33981,24092,44706,58492,92857
on,-30628,-12500,-46167,-17405,59394,83060
on,41538,55191,43501,60608,-40139,-31035
on,-29538,-3412,74927,77766,-2541,15551
on,15784,34520,24278,54221,65089,75147
on,42535,56644,-1335,23855,-72076,-42080
on,-35738,-25484,29658,50334,49522,80528
on,40838,63075,-68471,-44781,-27018,-4034
on,-86197,-58456,4038,9789,23939,38730
on,-50978,-37282,18238,33963,-68013,-46889
on,-9002,18414,57350,65842,-64350,-45437
on,15643,40411,66071,79781,7607,19783
on,16474,33177,64402,91823,-10253,-5099
on,-8443,8050,51848,81740,-58521,-33652
on,-60748,-54505,-29567,-14412,-56374,-33973
on,-55852,-50340,-1062,29335,-62774,-52740
on,27118,60720,-59485,-48094,-42684,-33215
on,-6113,20676,23469,40315,64560,85647
on,26071,51400,-5826,20371,-77828,-70855
on,-74360,-66078,-8194,17627,30575,35854
on,40297,50534,61080,77216,-18473,-13420
on,6481,32188,-73038,-67468,-37425,-17822
on,69163,81923,4794,11958,14398,31408
on,36923,59329,-65909,-48917,-1373,22196
on,-33381,-13509,30568,40854,46822,70376
on,59457,79154,29600,51339,444,3489
on,-51419,-24415,13429,36159,52009,71526
on,-17852,4277,27227,50102,-85725,-70528
on,43063,62237,-35715,-16381,-46313,-39565
on,1241,7407,-29526,-9534,-76285,-63119
on,57223,69361,-33985,-25987,-56817,-31108
on,-28082,-15386,56805,83538,-47032,-11458
on,29138,58816,46528,60618,-44786,-15056
on,66453,81884,-10034,20560,-29536,-7062
on,1600,24056,69703,97557,-16476,16237
on,-37847,-14432,-72282,-68661,-35526,-13599
on,-8868,13571,-41127,-22602,70177,86033
on,61524,91545,-21808,1174,29652,38701
on,58060,78978,-48311,-38908,-19604,4587
on,51890,79701,-53117,-20189,5288,27256
on,-56628,-33308,-75005,-55947,6100,24176
on,-476,19625,-79546,-56031,35565,51238
on,-25721,-18051,47720,69868,-59102,-29211
on,44706,54461,49550,67889,-18248,543
on,-34739,-13770,39347,72870,39407,71230
on,-67763,-32410,45951,75648,-32728,-18587
on,42494,63426,-71528,-40260,-7254,17963
on,-76582,-60188,-55062,-24896,-25573,3064
on,21953,37769,-75645,-54247,-35308,-19223
on,47005,61959,-75258,-55850,-35024,-22448
on,-65676,-35556,-2796,16725,-71103,-42080
on,-48829,-30079,18210,34501,52882,66667
on,-42810,-31723,55129,68535,22348,45500
on,-37433,-25195,-38957,-23637,-68796,-61046
on,-82289,-62535,-2433,17631,5359,26886
on,-7504,10315,-92548,-76467,-28253,264
on,40755,66162,-42861,-40086,33848,52972
on,41251,59301,-36909,-31405,48865,70055
on,-77381,-52063,22297,42679,-17532,3121
on,-41142,-23099,22442,43961,-82656,-61658
on,50872,58507,41441,77408,-3646,8460
on,22531,42190,48136,66866,-35736,-15654
on,-26349,-4775,-39232,-3391,-80767,-62478
on,-22714,4657,-40195,-17309,-84682,-57245
on,-79436,-46156,-44726,-27093,33957,37913
off,-65503,-29447,-61594,-40102,-61417,-45704
on,-5465,14206,24875,54603,70363,72584
off,-90679,-68512,-16733,-2366,-17803,-459
on,34647,50336,-370,18869,50354,79403
off,-82737,-67740,-21454,-13408,-6599,24650
off,-7969,8415,24338,38623,-85609,-72504
off,60119,85298,-11772,6088,-35654,-24544
off,-1482,27629,58542,72017,43264,52093
on,48241,62254,44558,65621,12800,49591
on,-61661,-55230,6683,38408,42243,63686
on,-89994,-66991,-5015,1956,12115,34030
on,-13384,12270,60123,76594,-39329,-26189
off,-83463,-73162,10218,37682,18999,41815
off,-66935,-50802,57969,72430,-4335,22504
off,-96282,-60896,-26066,-14534,-24372,4521
on,23742,37777,-7750,7548,75456,82421
off,18943,39318,-32026,-3548,49723,70085
on,6657,31107,-55214,-35170,54123,78681
on,30268,47437,57337,79545,7368,29319
off,-50998,-28101,36476,61906,-64012,-50549
off,-39601,-31261,-84997,-47856,22833,24054
off,-27590,3082,-85991,-75125,-19194,1655
off,-86685,-67128,-26451,-10305,16483,39732
on,-62079,-52534,-585,28826,37527,56387
off,52158,82528,32115,40848,-31876,-5720
off,56731,68604,-49499,-38435,-41863,-12658
on,-20662,16727,-46058,-35895,-85887,-52878
on,-89787,-74154,4894,29437,-9810,3488
on,-7126,23121,-94245,-60012,-31384,-23826
off,53735,66601,-17438,-3284,42673,56709
off,-52698,-28631,47999,73584,7259,24908
off,22906,37342,-31575,-20580,67513,82493
off,21513,40526,16515,21005,65952,73402
off,-74708,-51479,36496,61930,-45185,-29629
on,-23445,5030,40395,59020,-67250,-51869
on,-58811,-30069,-75251,-54695,-26012,4790
off,-37564,-28053,-64804,-42654,29266,59561
on,-92210,-73685,-42955,-22892,3492,17965
on,24088,43347,68563,85427,-30128,-5268
off,-46774,-32427,27060,53716,-56806,-39798
on,-20970,-776,-20379,12252,70235,90043
off,65519,92005,-29271,-15556,-11767,5023
on,-24238,1445,-29150,-8012,-79236,-71936
off,-16413,7485,8784,20457,73701,85140
on,-81617,-72738,-6076,21804,21184,42297
on,-18603,3809,-83618,-65534,15915,41820
off,46035,68548,-10891,7946,-50325,-48786
off,-13877,4719,49133,83943,24223,49712
off,-48296,-18478,60823,88367,-36504,-19465
on,55508,82544,-53509,-28856,-10981,-3901
on,-121,31007,-97086,-59816,3028,24710
off,5607,26287,-7132,8390,-84301,-73477
on,27660,47152,-78844,-48390,-53615,-25669
on,26175,46398,-79682,-56410,-39939,-33070
on,-716,17324,-35503,-7447,64002,91036
on,29236,58575,-42872,-25966,-52993,-42312
off,66758,75691,29380,46051,-31613,-4526
on,-68224,-51823,-41140,-23551,-16856,1016
off,-51897,-36523,8713,40129,41866,70172
off,-22778,-8036,60521,88507,4490,20427
on,38888,63600,48785,73192,-892,15178
off,-36116,-24736,7815,23583,57438,73807
on,64214,77437,-18931,11171,-42603,-16165
on,10978,12022,-72200,-54254,-52274,-44793
on,-60033,-47866,789,23595,-73838,-55809
on,9958,26741,6721,21385,-83084,-63871
off,66327,92775,-24230,5079,-8466,6328
on,-1645,2031,-81512,-64734,5292,29072
on,37006,58150,65826,67459,-37153,-17354
off,-56615,-45426,-66544,-40764,-35158,-20406
off,-20465,-1645,15854,46792,-78862,-57458
on,-77298,-57411,-62753,-41400,20804,39625
off,48718,69744,12237,34810,33525,45584
off,-39587,-18804,-66746,-52585,-43094,-34404
on,-3101,13941,28196,45353,62487,86239
on,-75014,-64908,-9727,11801,25982,43572
on,54237,70861,-54965,-30858,23105,37368
off,-14240,13016,17905,36311,60709,82665
on,53894,91359,-10908,136,-49530,-22631
off,-59429,-31060,-67643,-49414,-39524,-29929
off,-87527,-55043,16513,41342,-37270,-9508
on,-10043,8301,14011,33754,63873,96942
on,10118,26193,-76946,-67615,26000,46974
off,41985,49081,-4796,25939,-67797,-54689
on,14002,31550,45089,72540,36401,72031
on,-42408,-33667,47820,69031,24526,34790
off,-16739,1068,56466,82023,-53856,-29125
off,17727,40188,43235,63199,23764,37631
on,-53053,-35579,36615,57554,58995,68523
off,-58061,-30341,-51828,-32007,-63517,-28782
on,55984,67199,1210,23837,47014,64862
off,-29228,-5835,-86197,-58626,-3753,18921
off,-28618,-14264,67121,95798,-20042,11478
on,30863,49426,-74491,-61218,-31130,-10777
off,28109,44394,-22301,-9661,-81353,-61616
on,26554,32009,66503,83064,-12338,5592
off,-77980,-54146,-51614,-34613,-42685,-15270
off,-2779,16793,68054,73592,-47923,-19467
off,-22664,-11272,-24727,1390,-89458,-69365
off,-13025,9517,-97732,-64371,-25225,-8991
on,41843,55691,-9251,1519,43981,73893
on,27996,42516,7602,27387,60352,80458
off,-33031,-820,-2237,3954,76512,88569
on,53994,78980,24993,50728,-32458,2463
off,31059,59642,9695,23750,49813,74453
off,14399,36596,-31161,-20384,54604,79311
off,-45811,-22101,60940,72486,-42904,-32492
off,53723,71163,-63147,-42994,17671,46914
on,70868,82593,3609,20121,17458,33961
off,-78469,-59852,-37403,-8285,14116,29529
off,-90804,-60667,-7313,11998,-31738,6007
off,31624,40563,23604,55286,-65520,-39493
on,-74137,-63301,29453,38579,-31212,-16750
off,30070,58931,45451,76733,19911,45199
off,-42153,-9361,7525,18513,-83720,-58077
on,-56760,-40026,-63629,-50601,3229,23310
off,6438,31573,63132,91673,-22737,1687
on,-2486,7619,-97706,-64418,-27914,2089
off,59078,73143,-52136,-25916,22957,29241
on,43919,60337,-21332,-9954,43328,57585
on,-34725,-152,-93294,-61298,-15549,-2995
on,35727,38997,-14432,15654,63548,85260
off,-70864,-50832,-50076,-18495,-51915,-35025
off,-90052,-64288,17693,44173,71,23706
off,39085,56978,39661,61814,6224,34271
on,-31077,-21207,-78619,-57241,-9896,11390
on,-66658,-47597,11540,34770,38391,65068
on,-65615,-34509,53414,70424,-8121,25175
off,22965,32240,58946,87929,-10458,-4376
off,63082,90649,-26291,1752,21476,39364
on,9524,32915,-43284,-19194,52383,69188
off,-51369,-17158,-74652,-49149,-31398,-10599
off,29266,33149,7497,14985,66875,82541
on,-27021,-12645,60715,79770,-43143,-24197
on,-54871,-34848,-59775,-35252,-48344,-23443
on,-1950,16881,63179,86043,-55428,-31928
off,16581,29019,61191,92312,7013,32746
off,-55445,-19252,-5710,23171,58447,77784
off,-17624,18337,-40609,-27297,59683,76950
off,25862,54830,-75655,-55496,-361,24034
on,47642,63580,13587,31697,-63323,-33822
off,45388,55145,-72791,-60442,-31428,-5005
off,47767,72283,-51375,-25540,7381,25527
off,-6322,30737,-25667,2565,-97128,-60724
off,65199,79046,5420,37469,-31619,-15244
off,23572,39963,63364,77180,15360,35060
on,-29512,126,-19605,-3604,-80094,-77214
on,-85819,-49345,13010,23934,-43932,-32506
on,-73177,-44970,-8629,9092,55299,71030
on,42496,64601,-55995,-41803,-30300,-10429
off,-53775,-31854,-59234,-28407,-61605,-49173
off,31473,56209,12988,21267,53516,77383
on,29901,50061,46738,79242,-38794,-9493
on,37285,54497,-65252,-36573,16408,29558
off,-12781,3406,-59504,-31950,-85822,-56333
on,-37475,-13490,-10186,4616,-89147,-57477
off,-47903,-22113,43987,67652,40223,42318
off,-15046,18282,13029,29067,-96462,-68422
on,-83840,-69465,451,22192,-34901,-9485
off,-80409,-66287,-35747,-29770,15839,24333
on,-19010,750,-79337,-57187,-41849,-21549
on,-48822,-21353,-33954,-94,64810,72851
off,-54657,-38467,-41458,-18427,50354,63210
off,51408,81040,-14501,13586,38332,47599
off,48954,76455,3469,15311,-68958,-40888
off,-58806,-47362,-76380,-51862,5942,19718
off,-53246,-26761,-77054,-52976,-22871,13576
on,27614,38741,14613,29418,-83716,-57903
off,52319,72563,-6709,5215,35214,64427
off,-17272,15440,45933,73436,-47268,-34777
off,4464,21409,66927,90789,7589,23185
off,-6484,30730,-76775,-43599,-56202,-47419
off,-47243,-26535,-20295,-811,-85189,-50716
off,1592,37371,-42895,-19259,62255,81021
off,-83413,-69227,-10276,19927,-17853,16589
off,11946,32712,25300,45774,-74309,-63944
off,49376,83272,7670,36706,23521,50205
off,-5750,17880,60927,81058,28301,34623
on,-62883,-57040,-6621,6497,-58999,-47199
off,53793,81478,-1276,17782,38884,44815
on,24651,48221,50842,67067,14049,42323
off,27311,46213,33602,52451,-75659,-44109
on,61528,69908,-50915,-29489,21046,41008
on,57155,69842,25067,48665,3868,24976
on,-51744,-21639,-37864,-19572,-80353,-66632
on,-53378,-38089,38079,55906,48582,54771
off,-49276,-23705,53316,86609,-21885,13301
off,-27810,-6083,1258,36348,74783,87531
off,47836,81423,-20080,12837,-49106,-33359
on,43178,50772,-45368,-28229,-62038,-45931
off,69972,94011,-2896,7497,-18345,16328
on,-41390,-27872,-11169,12857,58269,88722
off,-7635,13614,47395,64088,-61661,-47174
on,15960,50155,37826,70201,32254,65902
on,-35435,-4150,-36965,-34805,-80676,-66202
off,20573,26063,-30310,-12158,-89541,-58150
off,64081,88596,-25922,-5947,16732,46694
off,79458,91210,-6760,4282,1518,13350
